seed,sample_size,explainer,metric,estimate,ci_low,ci_high,n,prediction_preservation_rate,n_rejected,runtime_ms
41,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7652662779915609,0.6241895452063492,0.915401951078992,100,0.98,2,20.389500001328997
41,100,randomized_negative_control,stability_top3_jaccard,0.2602040816326531,0.22346938775510203,0.2979591836734694,98,0.98,2,23.966900000232272
41,200,exact_linear,deletion_fidelity_aopc_at_3,1.6980082586871033,1.5500299911322752,1.8439284067049913,200,0.985,3,24.24760000030801
41,200,exact_linear,stability_top3_jaccard,0.9543147208121827,0.934010152284264,0.9746192893401016,197,0.985,3,21.57910000096308
41,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7416699931385712,0.6367674945858538,0.8445033917211201,200,0.985,3,23.70879999944009
41,200,randomized_negative_control,stability_top3_jaccard,0.27411167512690354,0.24567258883248735,0.3020431472081218,197,0.985,3,28.79419999953825
53,50,exact_linear,deletion_fidelity_aopc_at_3,2.0423341567058615,1.74682594135515,2.3838450202467096,50,0.96,2,19.596800000726944
53,50,exact_linear,stability_top3_jaccard,0.9375,0.8854166666666666,0.9791666666666666,48,0.96,2,19.18420000038168
53,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.9024096676117641,0.6725172226198773,1.1602956252014012,50,0.96,2,19.032299998798408
53,50,randomized_negative_control,stability_top3_jaccard,0.29791666666666666,0.23328124999999997,0.3687500000000001,48,0.96,2,21.442799999931594
53,100,exact_linear,deletion_fidelity_aopc_at_3,1.8699216661970968,1.653224264608051,2.0877078503710993,100,0.96,4,20.69169999958831
53,100,exact_linear,stability_top3_jaccard,0.9635416666666666,0.9373697916666667,0.9895833333333334,96,0.96,4,19.592299999203533
53,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8779485100059813,0.7281614670740333,1.0542190201843045,100,0.96,4,21.348300000681775
53,100,randomized_negative_control,stability_top3_jaccard,0.278125,0.23645833333333335,0.3219010416666667,96,0.96,4,26.451499999893713
53,200,exact_linear,deletion_fidelity_aopc_at_3,1.8750074833937953,1.7320138073322757,2.024524141717466,200,0.975,5,24.05960000032792
53,200,exact_linear,stability_top3_jaccard,0.958974358974359,0.9384615384615385,0.9769230769230769,195,0.975,5,27.349100000719773
53,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8289410257375492,0.7180448436569952,0.9515380229442452,200,0.975,5,29.60999999959313
53,200,randomized_negative_control,stability_top3_jaccard,0.2733333333333334,0.24051282051282055,0.30257692307692313,195,0.975,5,31.568799999149633
67,50,exact_linear,deletion_fidelity_aopc_at_3,1.6478424661403874,1.3769722897611776,1.9353420527113419,50,0.96,2,20.051100000273436
67,50,exact_linear,stability_top3_jaccard,0.9583333333333334,0.91640625,0.9895833333333334,48,0.96,2,18.770999999105697
67,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8631100962937603,0.6707000860586744,1.0768885951724523,50,0.96,2,19.518300001436728
67,50,randomized_negative_control,stability_top3_jaccard,0.2625,0.20833333333333334,0.325,48,0.96,2,21.662699999069446
67,100,exact_linear,deletion_fidelity_aopc_at_3,1.6477366295220253,1.4694888337771796,1.8413658916365832,100,0.98,2,20.823599999857834
67,100,exact_linear,stability_top3_jaccard,0.9591836734693877,0.9285714285714286,0.9846938775510204,98,0.98,2,19.888799999534967
67,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8117533725719808,0.6793347964096147,0.9452516430612761,100,0.98,2,20.35279999836348
67,100,randomized_negative_control,stability_top3_jaccard,0.26122448979591834,0.22551020408163264,0.3030612244897959,98,0.98,2,23.134600000048522
67,200,exact_linear,deletion_fidelity_aopc_at_3,1.6491784015290147,1.5079272092806744,1.7895628632426832,200,0.985,3,23.77390000037849
67,200,exact_linear,stability_top3_jaccard,0.9467005076142132,0.9213197969543148,0.9670050761421319,197,0.985,3,21.92529999956605
67,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8062615773968238,0.71080870211149,0.8923195171521693,200,0.985,3,23.75160000156029
67,200,randomized_negative_control,stability_top3_jaccard,0.2563451776649746,0.2304568527918782,0.2812182741116751,197,0.985,3,29.963999999381485
71,50,exact_linear,deletion_fidelity_aopc_at_3,1.4988471015474314,1.2513365948913757,1.7482829447002188,50,0.96,2,19.972000000052503
71,50,exact_linear,stability_top3_jaccard,0.9583333333333334,0.9166666666666666,0.9895833333333334,48,0.96,2,19.707999999809545
71,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.5651005797206955,0.43915274444493807,0.713591218299771,50,0.96,2,19.669899998916662
71,50,randomized_negative_control,stability_top3_jaccard,0.29375,0.24578124999999998,0.34375,48,0.96,2,20.983700000215322
71,100,exact_linear,deletion_fidelity_aopc_at_3,1.64500825822549,1.4513220344311322,1.848108303707444,100,0.98,2,21.19490000040969
71,100,exact_linear,stability_top3_jaccard,0.9591836734693877,0.9285714285714286,0.9846938775510204,98,0.98,2,19.806600001174957
71,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.5988499633110261,0.4972471394073336,0.7017945216799193,100,0.98,2,21.333900000172434
