seed,sample_size,explainer,metric,estimate,ci_low,ci_high,n,prediction_preservation_rate,runtime_ms
37,50,exact_linear,stability_top3_jaccard,0.94,0.89,0.98,50,1.0,1.2344970000128797
37,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7412950835892635,0.5947441978016249,0.8888147250552526,50,1.0,1.4353470000116886
37,50,randomized_negative_control,stability_top3_jaccard,0.23399999999999996,0.18794999999999998,0.284,50,1.0,1.4353470000116886
37,100,exact_linear,deletion_fidelity_aopc_at_3,1.686725880182082,1.481723482734512,1.8933957945715183,100,1.0,2.3223229999871364
37,100,exact_linear,stability_top3_jaccard,0.95,0.92,0.975,100,1.0,2.3223229999871364
37,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6272937996786853,0.5124952046390643,0.7514003556063226,100,1.0,2.7071250000005875
37,100,randomized_negative_control,stability_top3_jaccard,0.25,0.21,0.293025,100,1.0,2.7071250000005875
37,200,exact_linear,deletion_fidelity_aopc_at_3,1.809674228821156,1.6671406844662886,1.9718055214399128,200,0.99,4.570760999996537
37,200,exact_linear,stability_top3_jaccard,0.9545454545454546,0.9343434343434344,0.9722222222222222,198,0.99,4.570760999996537
37,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7224802836717908,0.6180374122540238,0.838614057439145,200,0.99,5.235242000026119
37,200,randomized_negative_control,stability_top3_jaccard,0.2742424242424243,0.24444444444444446,0.30252525252525253,198,0.99,5.235242000026119
41,50,exact_linear,deletion_fidelity_aopc_at_3,1.7481435616328471,1.4695993115288168,2.0562709395207857,50,1.0,1.238916999994899
41,50,exact_linear,stability_top3_jaccard,0.97,0.93,1.0,50,1.0,1.238916999994899
41,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7093566616225354,0.5356161650135983,0.8941620043035108,50,1.0,1.450844000004281
41,50,randomized_negative_control,stability_top3_jaccard,0.226,0.174,0.28,50,1.0,1.450844000004281
41,100,exact_linear,deletion_fidelity_aopc_at_3,1.6643094688300453,1.4517731598377837,1.8886931146888324,100,0.98,2.3176640000031057
41,100,exact_linear,stability_top3_jaccard,0.9285714285714286,0.8928571428571429,0.9591836734693877,98,0.98,2.3176640000031057
41,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7268125256449851,0.6005063156940114,0.86482056893581,100,0.98,2.682926999995061
41,100,randomized_negative_control,stability_top3_jaccard,0.2673469387755102,0.2285714285714286,0.3061224489795919,98,0.98,2.682926999995061
41,200,exact_linear,deletion_fidelity_aopc_at_3,1.6980082586871033,1.5500299911322755,1.8439284067049917,200,0.985,4.612002000015991
41,200,exact_linear,stability_top3_jaccard,0.9289340101522843,0.9035532994923858,0.9543147208121827,197,0.985,4.612002000015991
41,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7644719975512076,0.6666465737743221,0.8665038998055359,200,0.985,6.1828240000068035
41,200,randomized_negative_control,stability_top3_jaccard,0.24619289340101522,0.22030456852791877,0.27258883248730964,197,0.985,6.1828240000068035
53,50,exact_linear,deletion_fidelity_aopc_at_3,2.0423341567058615,1.74682594135515,2.38384502024671,50,0.98,1.261470999992298
53,50,exact_linear,stability_top3_jaccard,0.9489795918367347,0.9081632653061225,0.9897959183673469,49,0.98,1.261470999992298
53,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.9517319259909236,0.719471067941347,1.2335619363479278,50,0.98,1.4394519999996191
53,50,randomized_negative_control,stability_top3_jaccard,0.24489795918367346,0.19387755102040816,0.295969387755102,49,0.98,1.4394519999996191
53,100,exact_linear,deletion_fidelity_aopc_at_3,1.869921666197097,1.653224264608051,2.0877078503710997,100,0.96,2.334074999993163
53,100,exact_linear,stability_top3_jaccard,0.9583333333333334,0.9322916666666666,0.984375,96,0.96,2.334074999993163
53,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8973268547691369,0.7586529000540707,1.0498529700963928,100,0.96,2.704053999991629
53,100,randomized_negative_control,stability_top3_jaccard,0.24375000000000002,0.20622395833333335,0.28437500000000004,96,0.96,2.704053999991629
53,200,exact_linear,deletion_fidelity_aopc_at_3,1.8750074833937955,1.732013807332276,2.024524141717466,200,0.995,4.560198000007176
53,200,exact_linear,stability_top3_jaccard,0.964824120603015,0.9472361809045227,0.9824120603015075,199,0.995,4.560198000007176
53,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7379319118066908,0.648713644806351,0.8367414426325446,200,0.995,6.133838000010883
53,200,randomized_negative_control,stability_top3_jaccard,0.23819095477386934,0.2150753768844221,0.26383165829145727,199,0.995,6.133838000010883
67,50,exact_linear,deletion_fidelity_aopc_at_3,1.6478424661403874,1.3769722897611776,1.9353420527113414,50,0.98,1.218585999993138
67,50,exact_linear,stability_top3_jaccard,0.9387755102040817,0.8877551020408163,0.9795918367346939,49,0.98,1.218585999993138
67,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7788099175603258,0.6125993313214282,0.9357756551564811,50,0.98,1.424149000001762
67,50,randomized_negative_control,stability_top3_jaccard,0.27959183673469384,0.22040816326530613,0.3469897959183673,49,0.98,1.424149000001762
67,100,exact_linear,deletion_fidelity_aopc_at_3,1.647736629522025,1.4694888337771796,1.8413658916365832,100,0.98,2.3240600000065115
67,100,exact_linear,stability_top3_jaccard,0.9336734693877551,0.8979591836734694,0.9642857142857143,98,0.98,2.3240600000065115
